SCHOOL_YEAR,STATE_NAME,LEAID,LEA_NAME,DATA_GROUP_ID,DENOMINATOR,NUMERATOR,TEXT_VALUE,NUMERIC_VALUE,SUBGROUP
2022-2023,ARIZONA,0400618,American Charter Schools Foundation d.b.a. South P (80989),814PCT,555,693,100%,100,ALLLEA
2022-2023,ARIZONA,0400619,American Charter Schools Foundation d.b.a. Alta Vi (80995),814PCT,487,204,41.9%,41.9,ALLLEA
2022-2023,ARIZONA,0400621,Pinnacle Education-Tempe Inc. (81001),814PCT,242,38,15.7%,15.7,ALLLEA
2022-2023,ARIZONA,0400625,Pinnacle Education-Kino Inc. (81009),814PCT,45,65,100%,100,ALLLEA
2022-2023,ARIZONA,0400626,Pinnacle Education-Casa Grande Inc. (81011),814PCT,42,51,100%,100,ALLLEA
2022-2023,ARIZONA,0400630,Alpine Elementary District (4161),814PCT,59,29,49.2%,49.2,ALLLEA
2022-2023,ARIZONA,0400632,Cochise Community Development Corporation (81027),814PCT,354,164,46.3%,46.3,ALLLEA
2022-2023,ARIZONA,0400633,Canyon Rose Academy Inc. (81029),814PCT,245,0,0.0%,0,ALLLEA
2022-2023,ARIZONA,0400636,Blueprint Education (81041),814PCT,607,241,39.7%,39.7,ALLLEA
2022-2023,ARIZONA,0400637,Edkey Inc. - Redwood Academy (81043),814PCT,180,89,49.4%,49.4,ALLLEA
2022-2023,ARIZONA,0400638,Edkey Inc. - Pathfinder Academy (81045),814PCT,1035,263,25.4%,25.4,ALLLEA
2022-2023,ARIZONA,0400640,Edkey Inc. - Sequoia School for the Deaf and Hard (81050),814PCT,68,39,57.4%,57.4,ALLLEA
2022-2023,ARIZONA,0400641,Edkey Inc. - Sequoia Ranch School (81052),814PCT,100,90,90.0%,90,ALLLEA
2022-2023,ARIZONA,0400649,Heritage Elementary School (81076),814PCT,892,204,22.9%,22.9,ALLLEA
2022-2023,ARIZONA,0400653,Edkey Inc. - Arizona Conservatory for Arts and Ac (79981),814PCT,314,119,37.9%,37.9,ALLLEA
2022-2023,ARIZONA,0400655,Veritas Preparatory Academy (80992),814PCT,801,154,19.2%,19.2,ALLLEA
2022-2023,ARIZONA,0400680,Amphitheater Unified District (4406),814PCT,11961,5877,49.1%,49.1,ALLLEA
2022-2023,ARIZONA,0400720,Antelope Union High School District (4506),814PCT,200,89,44.5%,44.5,ALLLEA
2022-2023,ARIZONA,0400745,Legacy Traditional School - Maricopa (88360),814PCT,1268,510,40.2%,40.2,ALLLEA
2022-2023,ARIZONA,0400746,Eduprize Schools LLC (89412),814PCT,3119,1011,32.4%,32.4,ALLLEA
2022-2023,ARIZONA,0400747,Scottsdale Preparatory Academy (89756),814PCT,875,160,18.3%,18.3,ALLLEA
2022-2023,ARIZONA,0400748,Sage Academy Inc. (89414),814PCT,114,90,78.9%,78.9,ALLLEA
2022-2023,ARIZONA,0400750,Apache Elementary District (4178),814PCT,12,4,33.3%,33.3,ALLLEA
2022-2023,ARIZONA,0400751,Concordia Charter School Inc. (89556),814PCT,94,14,14.9%,14.9,ALLLEA
2022-2023,ARIZONA,0400752,Pima County JTED (89380),814PCT,92,134,100%,100,ALLLEA
2022-2023,ARIZONA,0400754,Imagine Desert West Middle Inc. (89563),814PCT,444,233,52.5%,52.5,ALLLEA
2022-2023,ARIZONA,0400755,Freedom Academy Inc. (89506),814PCT,329,113,34.3%,34.3,ALLLEA
2022-2023,ARIZONA,0400756,Imagine Camelback Middle Inc. (89561),814PCT,161,137,85.1%,85.1,ALLLEA
2022-2023,ARIZONA,0400757,Arete Preparatory Academy (89486),814PCT,560,82,14.6%,14.6,ALLLEA
2022-2023,ARIZONA,0400758,Candeo Schools Inc. (89758),814PCT,594,90,15.2%,15.2,ALLLEA
2022-2023,ARIZONA,0400760,Glendale Preparatory Academy (89829),814PCT,610,67,11.0%,11,ALLLEA
2022-2023,ARIZONA,0400763,EAGLE South Mountain Charter Inc. (89850),814PCT,458,192,41.9%,41.9,ALLLEA
2022-2023,ARIZONA,0400764,ASU Preparatory Academy (89949),814PCT,514,312,60.7%,60.7,ALLLEA
2022-2023,ARIZONA,0400766,Imagine Coolidge Elementary Inc. (89786),814PCT,681,379,55.7%,55.7,ALLLEA
2022-2023,ARIZONA,0400768,Pima Prevention Partnership dba Pima Partnership A (89864),814PCT,50,58,100%,100,ALLLEA
2022-2023,ARIZONA,0400769,Imagine Prep Coolidge Inc. (90034),814PCT,526,341,64.8%,64.8,ALLLEA
2022-2023,ARIZONA,0400770,Imagine Prep Surprise Inc. (89790),814PCT,290,123,42.4%,42.4,ALLLEA
2022-2023,ARIZONA,0400771,Blue Adobe Project (89871),814PCT,70,46,65.7%,65.7,ALLLEA
2022-2023,ARIZONA,0400772,Mountain Institute CTED #2 (90090),814PCT,45,60,100%,100,ALLLEA
2022-2023,ARIZONA,0400774,Daisy Education Corporation dba Sonoran Science Ac (89915),814PCT,465,209,44.9%,44.9,ALLLEA
2022-2023,ARIZONA,0400775,San Tan Montessori School Inc. (89798),814PCT,867,421,48.6%,48.6,ALLLEA
2022-2023,ARIZONA,0400776,Daisy Education Corporation dba Sonoran Science Ac (89914),814PCT,380,171,45.0%,45,ALLLEA
2022-2023,ARIZONA,0400778,Daisy Education Corporation dba Paragon Science Ac (89917),814PCT,548,182,33.2%,33.2,ALLLEA
2022-2023,ARIZONA,0400780,Imagine Avondale Elementary Inc. (89784),814PCT,447,298,66.7%,66.7,ALLLEA
2022-2023,ARIZONA,0400781,Math and Science Success Academy Inc. (89852),814PCT,727,330,45.4%,45.4,ALLLEA
2022-2023,ARIZONA,0400782,Haven Montessori Children's House Inc. (89951),814PCT,83,38,45.8%,45.8,ALLLEA
2022-2023,ARIZONA,0400783,Imagine Prep Superstition Inc. (89788),814PCT,297,126,42.4%,42.4,ALLLEA
2022-2023,ARIZONA,0400785,AZ Compass Schools Inc. (89869),814PCT,247,169,68.4%,68.4,ALLLEA
2022-2023,ARIZONA,0400786,West Valley Arts and Technology Academy Inc. (90036),814PCT,247,201,81.4%,81.4,ALLLEA
2022-2023,ARIZONA,0400787,Kaizen Education Foundation dba Vista Grove Prepar (90330),814PCT,81,73,90.1%,90.1,ALLLEA
2022-2023,ARIZONA,0400788,ASU Preparatory Academy (90273),814PCT,107,42,39.3%,39.3,ALLLEA
2022-2023,ARIZONA,0400789,Kaizen Education Foundation dba Liberty Arts Acade (90334),814PCT,350,179,51.1%,51.1,ALLLEA
2022-2023,ARIZONA,0400790,Apache Junction Unified District (4443),814PCT,2929,1643,56.1%,56.1,ALLLEA
2022-2023,ARIZONA,0400792,Vector School District Inc. (90317),814PCT,220,118,53.6%,53.6,ALLLEA
2022-2023,ARIZONA,0400793,Morrison Education Group Inc. (90192),814PCT,575,316,55.0%,55,ALLLEA
2022-2023,ARIZONA,0400794,Western Arizona Vocational District #50 (90123),814PCT,8,32,100%,100,ALLLEA
2022-2023,ARIZONA,0400797,Academy Del Sol Inc. (90199),814PCT,720,513,71.3%,71.3,ALLLEA
2022-2023,ARIZONA,0400798,Pioneer Preparatory School (90140),814PCT,399,101,25.3%,25.3,ALLLEA
